route_number,origin,destination,onwards_count,return_count,first_stop,last_stop,first_bus,last_bus
253M,Maheshwaram,Koti Womens College,50,47,Koti Womens College,Maheshwaram,5:00 AM,8:20 PM
253H,Harshaguda,Koti Womens College,30,31,Koti Womens College,Harshaguda,5:45 AM,7:00 PM
253G,Thukkuguda,Koti Womens College,34,33,Koti Womens College,Thukkuguda Bus Stop,5:30 AM,7:30 PM
203N,Nadergul,Koti Womens College,23,26,Koti Womens College,Nadergul,5:00 AM,9:40 PM
203K,Koti Womens College,Kurmalguda,27,24,Kurmalguda,Koti Womens College,6:35 AM,8:40 PM
105M,Koti Womens College,Midhani Bus Depot,14,13,Midhani Bus Depot,Koti Womens College,5:30 AM,7:30 PM
104G,Almasguda,Koti Womens College,24,24,Koti Womens College,Almasguda Bus Stop,6:45 AM,8:05 PM
102W,Midhani Bus Depot,Koti Womens College,13,14,Koti Womens College,Midhani Bus Depot,5:35 AM,7:30 PM
102N,Maduban Colony,Koti Womens College,23,22,Koti Womens College,Maduban Colony,7:00 AM,7:00 PM
102H,Nampally,Chandrayangutta,17,18,Hafiz Baba Nagar Bus Stop,Nampally,7:20 AM,7:50 PM
102D,Saroor Nagar,DRDL,11,13,Owaisi Hospital,Saroor Nagar,8:10 AM,6:30 PM
102CJ,Koti Bus Terminal,Janapriya Colony,20,18,Janapriya Colony,Koti Bus Terminal,5:20 AM,9:05 PM
102B/218L,Badangpet Gramapanchayat Office,Lingampally,76,78,Lingampally Bus Station,Badangpet Gramapanchayat Office,5:03 AM,5:40 PM
102A,Koti Womens College,Odamgudda,20,22,Mahaveer College RTC Bus Stop,Koti Womens College,6:10 AM,10:20 PM
102S,DRDL,Safilguda,39,40,Safilguda Bus stop,DRDL,5:30 AM,7:25 PM
16M,Secunderabad Bus Station,Malkajgiri,12,13,Malkajgiri Bus Stop,Secunderabad Bus Station 2,4:40 AM,9:25 PM
15H,Secunderabad Railway Station,ECIL X Road Bus Terminal,26,24,ECIL Bus Terminal,Secunderabad Bus Stop,4:45 AM,9:15 PM
5K/16A,ECIL X Road,Mehdipatnam,48,50,Mehdipatnam Bus Stop,ECIL X Road,9:40 AM,5:40 PM
90R,Pahadi Sharif,Chilakalaguda,48,44,Secunderabad/Chilkalguda Circle Bus Stop,Pahadi Sharif,7:35 AM,8:40 PM
90M,Chilakalaguda,Sripuram Colony,22,23,Sripuram Colony,Chilakalaguda,4:45 AM,5:15 PM
18,Peerjadiguda Kaman,Chilakalaguda,13,12,Secunderabad/Chilkalguda Circle Bus Stop,Peerjadiguda Kaman,12:07 AM,11:40 PM
178V,Ramcharan Oil Mill,Charminar,11,11,Charminar,Ramcharan Oil Mill,5:35 AM,9:05 PM
178R,Charminar,Rajendra Nagar,18,18,Rajendra Nagar,Charminar,6:30 AM,7:10 PM
85H,Baba Nagar,Charminar,19,20,Charminar,Baba Nagar,6:30 AM,8:00 PM
85B,Secunderabad Railway Station,Balapur,49,46,Balapur,Secunderabad Railway Station Bus Stop,6:50 AM,6:15 PM
